name,taxonomy,imageURL,remarks,temprange,phRange,detailsUrl
Ornate tetra,Hyphessobrycon bentosi,https://upload.wikimedia.org//wikipedia/commons/1/1d/Schmucksalmler_Hyphessobrycon_bentosi.jpg,,,,
"Penguin tetra, blackline penguinfish",Thayeria boehlkei,https://upload.wikimedia.org//wikipedia/commons/5/5b/Thayeria_boehlkei.jpg,,,,
Red Eye tetra,Moenkhausia sanctaefilomenae,https://upload.wikimedia.org//wikipedia/commons/c/c2/Red_eye_tetra.jpg,,,,https://en.wikipedia.org//wiki/Moenkhausia_sanctaefilomenae
Red phantom tetra,Hyphessobrycon sweglesi,https://upload.wikimedia.org//wikipedia/commons/5/52/Megalamphodussweglesi01.jpg,,,,
Rosy tetra,Hyphessobrycon rosaceus,https://upload.wikimedia.org//wikipedia/commons/4/4a/Male_Rosy_Tetra.JPG,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_rosaceus
Royal tetra,Inpaichthys kerri,https://upload.wikimedia.org//wikipedia/commons/5/58/05.Inpaichtys_kerri.JPG,,,,https://en.wikipedia.org//wiki/Inpaichthys_kerri
Rummy-nose tetra,Hemigrammus rhodostomus,https://upload.wikimedia.org//wikipedia/commons/2/2a/Petitella_rhodostomus_%28Hemigrammus_rhodostomus%29%2C_2013.jpg,,,,https://en.wikipedia.org//wiki/Hemigrammus_rhodostomus
Splash tetra,Copella arnoldi,https://upload.wikimedia.org//wikipedia/commons/3/38/Copella_arnoldi.jpg,,,,
Serpae tetra,Hyphessobrycon serpae,https://upload.wikimedia.org//wikipedia/commons/8/8c/Serpae_tetra.JPG,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_serpae
Silvertip tetra,Hasemania nana,https://upload.wikimedia.org//wikipedia/commons/1/18/Kobbertetra_Hasemania_nana.jpg,,,,https://en.wikipedia.org//wiki/Hasemania_nana
X-ray tetra,Pristella maxillaris,https://upload.wikimedia.org//wikipedia/commons/2/2d/Pristella_tetra1.jpg,,,,
Congo tetra,Phenacogrammus interruptus,https://upload.wikimedia.org//wikipedia/commons/4/45/Phenacogrammus_interruptus_%28aka%29.jpg,,,,https://en.wikipedia.org//wiki/Phenacogrammus_interruptus
Jellybean tetra,Ladigesia roloffi,https://upload.wikimedia.org//wikipedia/commons/b/b5/Ladigesia_roloffi_-_AquaPorteDoree_06.JPG,,,,
Long-fin tetra,Brycinus longipinnis,https://upload.wikimedia.org//wikipedia/commons/e/e3/Langflossensalmler_Brycinus_longipinnis_Tierpark_Hellabrunn-2.jpg,,,,
Niger tetra,Arnoldichthys spilopterus,https://upload.wikimedia.org//wikipedia/commons/8/87/Arnoldichthys_spilopterus.JPG,,,,
Yellow-tailed Congo tetra,Alestopetersius caudalis,https://upload.wikimedia.org//wikipedia/commons/1/17/Alestopetersius_caudalis.jpg,,,,https://en.wikipedia.org//wiki/Alestopetersius_caudalis
Common hatchetfish,Gasteropelecus sternicla,https://upload.wikimedia.org//wikipedia/commons/1/1d/Gasteropelecus_sternicla.JPG,,,,https://en.wikipedia.org//wiki/Gasteropelecus_sternicla
Marbled hatchetfish,Carnegiella strigata,https://upload.wikimedia.org//wikipedia/commons/c/c0/Beilbauchsalmler.jpg,,,,https://en.wikipedia.org//wiki/Carnegiella_strigata
Black-winged hatchetfish,Carnegiella marthae,https://upload.wikimedia.org//wikipedia/commons/3/37/BlackWingedHatchetfish.jpg,,,,https://en.wikipedia.org//wiki/Carnegiella_marthae
Golden pencilfish,Nannostomus beckfordi,https://upload.wikimedia.org//wikipedia/commons/7/77/Nannostomus-beckfordi.jpg,,,,
Hockeystick pencilfish,Nannostomus eques,https://upload.wikimedia.org//wikipedia/commons/1/11/Nannostomus_eques.jpg,,,,
Barred pencilfish,Nannostomus espei,https://upload.wikimedia.org//wikipedia/commons/d/da/Nannostomus-espei.jpg,,,,
Dwarf pencilfish,Nannostomus marginatus,https://upload.wikimedia.org//wikipedia/commons/1/18/Nannostomus_marginatus%2C_adultes_M%C3%A4nnchen.jpg,,,,
Coral-red pencilfish,Nannostomus mortenthaleri,https://upload.wikimedia.org//wikipedia/commons/7/77/Red_Pencilfish.jpg,,,,
Three-lined pencilfish,Nannostomus trifasciatus,https://upload.wikimedia.org//wikipedia/commons/d/d0/Nannostomustrifasciatus.jpg,,,,
One-lined Pencilfish,Nannostomus unifasciatus ,https://upload.wikimedia.org//wikipedia/commons/1/17/Nannostomus_unifasciatus.jpg,,,,
Silver dollar,Metynnis argenteus,https://upload.wikimedia.org//wikipedia/commons/a/a4/Silver_Dollar_Metynnis_argenteus.jpg,,,,
Schreitmuller’s metynnis,Metynnis hypsauchen,https://upload.wikimedia.org//wikipedia/commons/9/93/Metynnis_hypsauchen_small.jpg,,,,
Red-bellied pacu,Colossoma bidens,https://upload.wikimedia.org//wikipedia/commons/b/b3/Red_Pacu.JPG,"78–82 °F (26–28 °C)
",,,https://en.wikipedia.org//wiki/Colossoma_bidens
Red piranha,Pygocentrus nattereri,https://upload.wikimedia.org//wikipedia/commons/c/cd/Gregory_Moine_-_Red_bellied_Piranha_%28by%29.jpg,,,,https://en.wikipedia.org//wiki/Pygocentrus_nattereri
Disk tetra,Myleus schomburgkii,https://upload.wikimedia.org//wikipedia/commons/8/82/Myleus_schomburgkii.jpg,"23 °C to 27 °C
","5.0–7.0
",,https://en.wikipedia.org//wiki/Myleus_schomburgkii
African pike characin,Hepsetus odoe,https://upload.wikimedia.org//wikipedia/commons/c/c0/Hepsetus_odoe.jpg,,,,
Goliath tigerfish,Hydrocynus goliath,https://upload.wikimedia.org//wikipedia/commons/8/82/Hydrocynus_goliath.jpg,,,,
Hujeta gar,Ctenolucius hujeta,https://upload.wikimedia.org//wikipedia/commons/0/06/Ctenolucius_hujeta_3.jpg,,,,
"Kissing prochilodus, flagtail Prochilodus",Semaprochilodus insignis,https://upload.wikimedia.org//wikipedia/commons/b/b4/Prochilodus_insignis_-_Zoo_Frankfurt_1.jpg,,,,
Marbled headstander,Abramites hypselonotus,https://upload.wikimedia.org//wikipedia/commons/2/28/Abramites_hypselonotus.jpg,,,,
Banded leporinus,Leporinus fasciatus,https://upload.wikimedia.org//wikipedia/commons/e/ee/Banded_Leporinus_%28Leporinus_fasciatus%29_%287124562451%29.jpg,,,,
Striped headstander,Anostomus anostomus,https://upload.wikimedia.org//wikipedia/commons/1/12/Anostomus_anostomus%2C_striped_headstander.jpg,,,,
Six-banded distichodus,Distichodus sexfasciatus,https://upload.wikimedia.org//wikipedia/commons/a/ab/Distichodontidae_-_Distichodus_sexfasciatus.JPG,,,,https://en.wikipedia.org//wiki/Distichodus_sexfasciatus
